id,date,amount,category,note
exp_001,2026-07-02,15.00,food,Lunch at campus cafeteria
exp_002,2026-07-03,40.00,transport,Gas
exp_003,2026-07-05,120.00,food,Weekly groceries
exp_004,2026-07-09,25.50,entertainment,Cinema ticket
exp_005,2026-07-14,60.00,transport,Bus pass
exp_006,2026-07-18,32.00,food,Dinner with friends
exp_007,2026-07-21,200.00,rent,Share of utilities
exp_008,2026-07-25,18.75,other,Notebook and pens
exp_009,2026-08-12,25.00,food,"Lunch, coffee and a ""large"" tea"
exp_010,2026-08-16,25.00,food,nothing
